"","Gender","Ever_Married","Age","Graduated","Spending_Score","Family_Size"
"300","Female","Yes",40,"Yes","Average",2
"301","Male","Yes",63,"Yes","Average",3
"302","Female","Yes",27,"Yes","Low",2
"303","Male","No",27,"Yes","Low",3
"304","Female","No",19,"No","Low",2
"305","Female","Yes",86,"Yes","High",2
"306","Male","Yes",41,"Yes","High",2
"307","Female","Yes",27,"Yes","Average",2
"308","Female","Yes",70,"No","Average",2
"309","Female","Yes",53,"No","Average",4
"310","Female","Yes",49,"No","Average",4
"311","Male","Yes",55,"No","Low",NA
"312","Female",NA,57,"Yes","Average",4
"313","Male","Yes",83,"No","Low",1
"314","Male","Yes",43,"No","High",4
"315","Male","Yes",36,"No","Low",3
"316","Male","Yes",74,"Yes","Low",2
"317","Female","No",30,"No","Low",4
"318","Female","No",37,"Yes","Low",2
"319","Female","No",22,"No","Low",1
"320","Male","No",19,"No","Low",4
"321","Male","Yes",70,"Yes","High",2
"322","Male","Yes",89,"Yes","Low",1
"323","Male","No",18,"No","Low",4
"324","Male","No",25,"Yes","Low",1
"325","Female","No",45,"Yes","Low",1
"326","Female","No",35,"Yes","Low",1
"327","Female","Yes",37,"No","Low",1
"328","Female","Yes",39,"No","Average",2
"329","Female","No",32,"Yes","Low",5
"330","Female","Yes",62,"Yes","Average",3
"331","Female","Yes",58,"Yes","Average",4
"332","Female","No",32,"No","Low",4
"333","Male","No",25,"No","Low",5
"334","Female","Yes",56,"Yes","Average",4
"335","Female","No",36,"Yes","Low",2
"336","Female","No",30,"No","Low",3
"337","Male","No",19,"No","Low",5
"338","Male","No",27,"Yes","Low",2
"339","Female","No",38,"Yes","Low",1
"340","Male","Yes",46,"Yes","Average",2
"341","Male","No",29,"Yes","Low",1
"342","Male","Yes",51,"No","Average",4
"343","Male","Yes",55,"No","Low",1
"344","Female","Yes",69,"Yes","Low",1
"345","Female","No",26,"No","Low",8
"346","Female","Yes",83,"Yes","Low",3
"347","Female","No",39,"Yes","Low",1
"348","Male","Yes",35,"Yes","Low",1
"349","Male","Yes",19,"No","High",5
"350","Female","Yes",60,"Yes","High",4
"351","Male","Yes",35,"Yes","Average",4
"352","Female","No",53,"Yes","Low",1
"353","Female","Yes",86,"No","Low",NA
"354","Female","No",29,"No","Low",3
"355","Female","No",26,"No","Low",1
"356","Male","No",36,"Yes","Low",1
"357","Female","No",22,"No","Low",4
"358","Male","No",19,"No","Low",5
"359","Female","Yes",20,"Yes","Average",3
"360","Male","No",43,"Yes","Low",3
"361","Female","No",42,"Yes","Low",3
"362","Male","No",43,"Yes","Low",2
"363","Female","Yes",50,"Yes","High",3
"364","Male","No",25,"Yes","Low",2
"365","Male","Yes",61,"No","High",2
"366","Female","Yes",28,"Yes","Average",2
"367","Male","No",38,"Yes","Low",1
"368","Male","No",25,"No","Low",3
"369","Female","No",18,"No","Low",5
"370","Male","Yes",43,"Yes","Average",5
"371","Female","No",27,"Yes","Low",1
"372","Female","No",60,"Yes","Low",2
"373","Male","Yes",75,"Yes","Low",1
"374","Female","No",31,"No","Low",4
"375","Male","No",23,"No","Low",4
"376","Male","No",36,"Yes","Low",1
"377","Male","No",30,"No","Low",1
"378","Male","Yes",56,"No","Average",2
"379","Female","Yes",52,"Yes","Low",2
"380","Male","Yes",39,"Yes","Low",1
"381","Female","No",35,"No","Low",1
"382","Male","Yes",33,"No","Average",2
"383","Female","No",25,"Yes","Low",6
"384","Female","Yes",27,"Yes","Average",2
"385","Male","Yes",35,"Yes","High",3
"386","Female","Yes",41,"Yes","Average",2
"387","Female","Yes",49,"Yes","Average",3
"388","Female","Yes",46,"No","Average",2
"389","Female","No",31,"No","Low",2
"390","Male","No",49,"Yes","Low",1
"391","Female","No",26,"Yes","Low",1
"392","Male","Yes",43,"Yes","High",2
"393","Female","Yes",30,"Yes","Low",4
"394","Female","Yes",70,"Yes","Average",4
"395","Female","No",28,"Yes","Low",1
"396","Female","Yes",89,"No","High",1
"397","Female","Yes",42,"No","High",4
"398","Female","Yes",37,"Yes","Average",3
"399","Male","Yes",29,"No","Average",3
"400","Female","Yes",68,"Yes","High",2
"401","Female","No",25,"No","Low",1
"402","Male","No",29,"No","Low",NA
"403","Female","Yes",48,"Yes","Low",2
"404","Female","Yes",51,"Yes","Average",3
"405","Female","Yes",40,"Yes","High",5
"406","Male","Yes",47,"Yes","Average",6
"407","Male","Yes",39,"Yes","High",3
"408","Male","Yes",35,"Yes","Average",4
"409","Female","No",19,"No","Low",3
"410","Female","No",21,"No","Low",NA
"411","Male","Yes",46,"Yes","Average",3
"412","Male","Yes",86,"Yes","Low",1
"413","Male","Yes",66,"Yes","High",2
"414","Male","No",42,"No","Low",5
"415","Female","Yes",73,"Yes","High",2
"416","Male","Yes",72,"No","Low",1
"417","Male","Yes",53,"Yes","Low",3
"418","Female","Yes",39,"Yes","Average",2
"419","Female","No",27,"No","Low",1
"420","Male","Yes",63,"No","Average",NA
"421","Female","No",23,"No","Low",3
"422","Female","No",30,"Yes","Low",4
"423","Female","Yes",39,"Yes","Average",2
"424","Male","Yes",26,"Yes","Average",3
"425","Female","Yes",50,"Yes","Low",3
"426","Female","Yes",45,"Yes","Average",2
"427","Female","No",62,"No","Low",1
"428","Female","No",27,"Yes","Low",3
"429","Male","Yes",57,"Yes","Low",NA
"430","Female","Yes",30,"No","Average",7
"431","Male","No",32,"No","Low",4
"432","Male","No",18,NA,"Low",5
"433","Male","No",47,"No","Low",3
"434","Female","No",32,"Yes","Low",4
"435","Female","Yes",32,"No","Low",3
"436","Male","Yes",67,"Yes","Average",4
"437","Female","Yes",77,"Yes","High",2
"438","Male","Yes",79,"No","Average",2
"439","Male","No",31,"No","Low",1
"440","Male","Yes",42,"Yes","Low",3
"441","Female","No",18,"No","Low",6
"442","Male","Yes",50,"Yes","Average",4
"443","Male","Yes",71,"Yes","Average",5
"444","Female","Yes",72,"No","Low",3
"445","Male","Yes",47,"Yes","Low",3
"446","Male","Yes",45,"Yes","Average",2
"447","Female","No",40,"No","Low",5
"448","Female","No",36,"Yes","Low",1
"449","Female","No",42,"Yes","Low",1
"450","Male","No",30,"No","Low",4
"451","Female","No",29,"Yes","Low",4
"452","Male","No",28,"Yes","Low",5
"453","Male",NA,22,"No","Low",2
"454","Male","Yes",85,"No","Low",1
"455","Female","Yes",40,"Yes","Average",2
"456","Female","Yes",52,"Yes","Average",2
"457","Male","Yes",47,"Yes","Low",NA
"458","Male","No",26,"No","Low",6
"459","Female","No",55,"Yes","Low",1
"460","Female","No",20,"No","Low",4
"461","Female","Yes",87,"Yes","High",2
"462","Male","No",28,"No","Low",2
"463","Male","No",38,"No","Low",2
"464","Male","Yes",42,"No","Low",2
"465","Male","Yes",42,"No","High",6
"466","Female","No",29,"No","Low",4
"467","Male","No",32,"Yes","Low",4
"468","Male","Yes",38,"No","High",5
"469","Female","Yes",59,"No","High",2
"470","Male","No",22,"No","Low",2
"471","Female","No",26,"No","Low",NA
"472","Female","Yes",78,"Yes","High",2
"473","Female","No",32,"Yes","Low",3
"474","Male","Yes",37,"Yes","Average",4
"475","Male","Yes",37,"Yes","High",4
"476","Male","No",67,"No","Low",2
"477","Male","Yes",47,"No","High",4
"478","Female","Yes",68,"Yes","High",2
"479","Male","No",30,"Yes","Low",5
"480","Female","Yes",48,"Yes","Low",1
"481","Female","No",43,"Yes","Low",1
"482","Male","Yes",33,"Yes","Low",2
"483","Male","Yes",31,"No","Average",5
"484","Male","Yes",32,"Yes","Low",2
"485","Female","No",21,"No","Low",4
"486","Female","No",29,"No","Low",4
"487","Female","Yes",35,"Yes","Low",2
"488","Male","Yes",46,"No","Low",3
"489","Female","Yes",38,"Yes","High",2
"490","Female","No",32,"Yes","Low",3
"491","Female","No",28,"Yes","Low",7
"492","Female","Yes",68,"Yes","Low",1
"493","Female","Yes",45,"Yes","Low",1
"494","Male","Yes",58,"Yes","Average",3
"495","Male","No",28,"No","Low",2
"496","Female","No",32,"No","Low",3
"497","Male","No",30,"Yes","Low",1
"498","Female","Yes",42,"No","Average",4
"499","Male","No",22,"No","Low",6
"500","Male","No",41,"Yes","Low",3
"501","Female","No",18,"No","Low",4
"502","Female","Yes",29,"Yes","Low",3
"503","Female","No",33,"Yes","Low",3
"504","Male","No",47,"No","Low",NA
"505","Female","Yes",57,"Yes","Low",2
"506","Male","Yes",36,"Yes","Low",3
"507","Male","Yes",57,"Yes","High",3
"508","Male","No",18,"No","Low",2
"509","Male",NA,52,"Yes","Average",5
"510","Male","Yes",52,"Yes","Average",6
"511","Male","No",51,NA,"Low",4
"512","Female","Yes",37,"Yes","Average",2
"513","Male","No",36,"Yes","Low",1
"514","Female","No",29,"Yes","Low",3
"515","Male","Yes",45,"Yes","Average",4
"516","Male","No",61,"Yes","Low",1
"517","Male","Yes",52,"Yes","Average",4
"518","Female","Yes",49,"Yes","Low",1
"519","Male","Yes",40,"Yes","Average",2
"520","Female","No",31,"No","Low",5
"521","Male","Yes",42,"No","Low",3
"522","Male","Yes",51,"Yes","Average",5
"523","Female","No",42,"Yes","Low",1
"524","Male","No",29,"Yes","Low",4
"525","Female","No",33,"Yes","Low",1
"526","Male","No",27,"Yes","Low",3
"527","Female","No",21,"No","Low",4
"528","Male","Yes",35,"No","Average",3
"529","Female","No",42,"Yes","Low",1
"530","Female","No",41,"Yes","Low",1
"531","Male","No",39,"Yes","Low",3
"532","Female","No",28,"No","Low",1
"533","Female","Yes",45,"Yes","Average",NA
"534","Female","Yes",61,"Yes","Average",2
"535","Male","Yes",62,"Yes","Average",4
"536","Male","Yes",65,"Yes","Average",2
"537","Male","Yes",45,"Yes","Average",2
"538","Female","Yes",26,"Yes","Low",2
"539","Female","No",25,"Yes","Low",5
"540","Female","Yes",45,"Yes","Average",4
"541","Male","Yes",43,"No","High",4
"542","Male","Yes",49,"Yes","High",3
"543","Male","Yes",55,"Yes","Average",2
"544","Female","No",37,"Yes","Low",1
"545","Male","Yes",65,"Yes","High",2
"546","Female","No",32,"No","Low",5
"547","Female","No",39,"No","Low",3
"548","Female","Yes",40,"Yes","Average",2
"549","Male","Yes",72,"Yes","Average",3
"550","Female","No",38,"No","Low",1
"551","Male","No",26,"No","Low",5
"552","Male","No",30,"Yes","Low",3
"553","Male","Yes",51,"Yes","Low",NA
"554","Male","No",57,"Yes","Low",4
"555","Female","No",31,"Yes","Low",1
"556","Male","No",39,"Yes","Low",1
"557","Female","No",30,"No","Low",4
"558","Female","Yes",43,"No","Average",3
"559","Male","No",27,"Yes","Low",1
"560","Female","Yes",46,"No","Average",4
"561","Male","Yes",43,"No","Low",2
"562","Male","Yes",69,"Yes","Low",1
"563","Male","Yes",28,"No","Average",4
"564","Male","No",43,"Yes","Low",1
"565","Female","No",27,"No","Low",5
"566","Female","No",28,"Yes","Low",3
"567","Male","No",33,"No","Low",4
"568","Female","No",30,"No","Low",1
"569","Male","No",58,"No","Low",2
"570","Female","No",38,"Yes","Low",4
"571","Female","No",31,"Yes","Low",4
"572","Male","Yes",32,"No","Average",5
"573","Male","Yes",45,"Yes","Average",4
"574","Male","Yes",66,"Yes","Low",3
"575","Female","Yes",51,"Yes","Average",3
"576","Female","Yes",59,"Yes","Average",2
"577","Female","No",40,"Yes","Low",1
"578","Male","Yes",46,"Yes","Average",5
"579","Male","No",20,"No","Low",6
"580","Female","Yes",84,"No","High",2
"581","Female","No",41,"Yes","Low",1
"582","Male","Yes",51,"No","Average",3
"583","Male","Yes",57,"Yes","Average",5
"584","Female","No",33,"No","Low",1
"585","Male","No",25,"No","Low",3
"586","Male","Yes",55,"Yes","Average",3
"587","Female","Yes",56,"Yes","High",4
"588","Male","Yes",77,"Yes","Low",1
"589","Male","Yes",30,"Yes","Low",2
"590","Male","No",23,"No","Low",5
"591","Female","No",43,"Yes","Low",4
"592","Male","No",39,"Yes","Low",1
"593","Male","Yes",29,"No","High",2
"594","Male","Yes",37,"Yes","Low",2
"595","Female","Yes",45,"No","Low",2
"596","Male","Yes",48,"No","High",2
"597","Male","Yes",27,"No","Average",4
"598","Female","Yes",60,"No","Low",4
"599","Male","Yes",45,"Yes","Average",3
"600","Male","No",31,"Yes","Low",1
"601","Male","No",33,"No","Low",4
"602","Male",NA,18,"No","High",4
"603","Female","Yes",48,"Yes","Average",3
"604","Female","Yes",83,"No","Low",2
"605","Male","Yes",57,"Yes","Low",4
"606","Male","No",26,"Yes","Low",3
"607","Male","Yes",51,"Yes","Low",5
"608","Male","Yes",67,"No","High",1
"609","Male","Yes",38,"Yes","Average",2
"610","Female","No",40,"Yes","Low",1
"611","Female","Yes",45,"Yes","Average",2
"612","Male","Yes",48,"Yes","Average",4
"613","Female","Yes",69,"No","Average",2
"614","Male","No",21,"No","Low",5
"615","Female","Yes",48,"No","High",NA
"616","Female","No",18,"No","Low",3
"617","Male","Yes",72,"Yes","Low",3
"618","Male","Yes",85,"No","Low",1
"619","Female","No",21,"No","Low",5
"620","Female","Yes",48,"Yes","Low",1
"621","Female","No",37,"Yes","Low",NA
"622","Male","No",28,"No","Low",5
"623","Male","Yes",55,"Yes","Low",2
"624","Female","No",56,"Yes","Low",2
"625","Male","Yes",50,"Yes","Low",2
"626","Male","No",21,"No","Low",4
"627","Male","No",18,"No","Low",6
"628","Male","Yes",68,"Yes","High",2
"629","Male","Yes",47,"Yes","Low",1
"630","Male","Yes",75,"No","High",2
"631","Male","Yes",50,"Yes","Average",4
"632","Male","No",31,"Yes","Low",4
"633","Female","No",30,"Yes","Low",3
"634","Female","Yes",41,"Yes","Low",4
"635","Male","Yes",41,NA,"High",2
"636","Female","Yes",35,"No","Low",1
"637","Male","Yes",37,"Yes","Low",1
"638","Male","Yes",60,"Yes","Low",NA
"639","Male","Yes",50,"Yes","Average",3
"640","Male","Yes",36,"Yes","Average",2
"641","Female","No",26,"No","Low",3
"642","Male","Yes",62,"No","High",2
"643","Male","No",22,"No","Low",4
"644","Female","No",19,"No","Low",3
"645","Female","Yes",45,"Yes","Average",5
"646","Female","No",31,"No","Low",4
"647","Male","Yes",56,"Yes","Average",3
"648","Female","Yes",62,NA,"Low",5
"649","Female","No",25,"Yes","Low",3
"650","Female","Yes",73,"Yes","Low",1
"651","Male","Yes",62,"Yes","Average",4
"652","Male","Yes",46,"No","Average",3
"653","Female","Yes",51,"Yes","Low",NA
"654","Male","Yes",25,"Yes","High",2
"655","Male","Yes",66,NA,"High",2
"656","Male","No",27,"Yes","Low",2
"657","Male","Yes",87,"No","Low",2
"658","Female","Yes",47,"Yes","Low",1
"659","Male","Yes",57,"Yes","Average",4
"660","Male","Yes",60,"Yes","Average",4
"661","Male","Yes",40,"Yes","High",5
"662","Female","No",32,"Yes","Low",NA
"663","Male","No",28,"Yes","Low",3
"664","Male","No",39,"Yes","Low",3
"665","Female","No",47,"Yes","Low",1
"666","Female","No",39,"Yes","Low",NA
"667","Male","No",28,"No","Low",NA
"668","Male","Yes",69,"Yes","Average",3
"669","Female","No",42,"Yes","Low",1
"670","Female","Yes",46,"Yes","Low",1
"671","Female","No",23,"No","Low",3
"672","Male","No",45,"Yes","Low",5
"673","Female","Yes",38,"Yes","Average",4
"674","Female","Yes",71,"No","High",3
"675","Female","No",26,"No","Low",2
"676","Female","Yes",60,"Yes","High",2
"677","Female","Yes",46,"Yes","Average",2
"678","Male","Yes",39,"Yes","Average",4
"679","Female","No",18,"No","Low",3
"680","Male","Yes",26,"Yes","Average",2
"681","Male","Yes",53,"Yes","High",2
"682","Male","Yes",40,"Yes","Average",2
"683","Male","Yes",76,"No","Low",7
"684","Male","Yes",26,"Yes","Average",3
"685","Female","Yes",65,"Yes","Average",2
"686","Female","No",37,"Yes","Low",2
"687","Male","No",25,"No","Low",4
